comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
677637689291526_679978025724159,632493333805962_677637689291526,,"The real cost of solar panels (other than the massive toxic pollution mining for rare earths and metals cause elsewhere, of course) is that they are low energy density and generate it when the sun shines, whether it is required or not and do not generate it when the sun doesn't shine, requiring subsidized operation.

It is, basically, the energy unreliability and waste what makes them inefficient and expensive. Not the cost for manufacturing.",2018-01-12 13:46:09,0,0,0,0,0,0,0,0
667462033642425_668225513566077,632493333805962_667462033642425,,What did they talk about in the dirty thirties...did the scientists spread fear about weather change then...,2017-12-22 18:12:20,0,0,0,0,0,0,0,0
666382390417056_666509960404299,632493333805962_666382390417056,,"If you’re not building nuclear power plants you’re wasting resources. 
If we started construction on 1 plant in Saskatchewan and 2 in Alberta we could employ thousands of skilled trades people currently left unemployed by the oil down turn plus when the plants come on line we could reduce our carbon footprint by many tonnes. 
Time To Go Nuclear.",2017-12-19 19:37:00,0,0,0,0,0,0,0,0
663786990676596_664158603972768,632493333805962_664058260649469,,"Energy efficiency is the lowest hanging fruit anyone can do for slowing climate change. I replaced every light bulb with LEDs two years ago. The light is better and as for cost savings, they have already paid for themselves.  PLUS none of the bulbs has burned out yet!",2017-12-15 12:45:49,1,1,0,0,0,0,0,0
663786990676596_664187497303212,632493333805962_664058260649469,,"when are you and the entire Liberal team announcing you are all going #vegan since plant-based diets would help reduce emissions by 30+%? if #ClimateAction is truly a crucial issue, then put personal actions behind your endless 'announcements' and 'commitments'",2017-12-15 14:00:07,0,0,0,0,0,0,0,0
663786990676596_664087167313245,632493333805962_664058260649469,,Looking forward to hearing about the Challenge Fund next year.,2017-12-15 10:13:03,1,1,0,0,0,0,0,0
663786990676596_664081900647105,632493333805962_664058260649469,,Short version - we're going to spend your money to tell you how to save money so that you can pay your increasing energy bills.,2017-12-15 10:04:15,0,0,0,0,0,0,0,0
663786990676596_664079373980691,632493333805962_664058260649469,,Encouraging energy efficiency is NOT a new initiative,2017-12-15 09:59:36,1,1,0,0,0,0,0,0
663786990676596_664155180639777,632493333805962_664058260649469,,The Low Carbon Economy Challenge was supposed to be launched in 2017....,2017-12-15 12:37:08,0,0,0,0,0,0,0,0
663786990676596_664132733975355,632493333805962_664058260649469,,So proud that Canada is integrating sustainability into the economy!,2017-12-15 11:38:35,0,0,0,0,0,0,0,0
663786990676596_664069423981686,632493333805962_664058260649469,,Enough virtue signalling - get on with it,2017-12-15 09:48:31,0,0,0,0,0,0,0,0
663786990676596_664080430647252,632493333805962_664058260649469,,Word salad,2017-12-15 10:01:40,0,0,0,0,0,0,0,0
663786990676596_664069340648361,632493333805962_664058260649469,,Bravo Canadian Tire !,2017-12-15 09:48:24,0,0,0,0,0,0,0,0
663786990676596_664060887315873,632493333805962_664058260649469,,Rien à entendre?,2017-12-15 09:35:09,0,0,0,0,0,0,0,0
663786990676596_664072703981358,632493333805962_664058260649469,,Hi,2017-12-15 09:52:26,0,0,0,0,0,0,0,0
663786990676596_664070133981615,632493333805962_664058260649469,,Pouvez-vous donner plus de volume à votre son svp?,2017-12-15 09:49:21,0,0,0,0,0,0,0,0
663786990676596_664111350644160,632493333805962_664058260649469,,Can you help me,2017-12-15 10:55:44,0,0,0,0,0,0,0,0
663786990676596_664059573982671,632493333805962_664058260649469,,hi Matt Horsman!,2017-12-15 09:32:34,0,0,0,0,0,0,0,0
663786990676596_664059897315972,632493333805962_664058260649469,,Well hello Jesse Hitchcock! Fancy meeting you here...,2017-12-15 09:33:14,1,1,0,0,0,0,0,0
663818704006758_664188300636465,632493333805962_663818704006758,,"when are you and the entire Liberal team announcing you are all going #vegan since plant-based diets would help reduce emissions by 30+%? if #ClimateAction is truly a crucial issue, then put personal actions behind your endless 'announcements' and 'commitments'",2017-12-15 14:02:13,1,1,0,0,0,0,0,0
663206447401317_664188397303122,632493333805962_663206447401317,,What is “renewable natural gas”?,2017-12-15 14:02:30,0,0,0,0,0,0,0,0
663206447401317_665409007181061,632493333805962_663206447401317,663206447401317_664188397303122,Methane from waste.,2017-12-17 19:17:06,0,0,0,0,0,0,0,0
662218024166826_662502427471719,632493333805962_662218024166826,,"Exercise and Vitamin D Better Together for Heart Health

https://www.hopkinsmedicine.org/news/media/releases/exercise_and_vitamin_d_better_together_for_heart_health [[SHARE]]",2017-12-12 10:08:49,0,0,0,0,0,0,0,0
662218024166826_662503664138262,632493333805962_662218024166826,662218024166826_662502427471719,"Vitamin D deficiency is reportedly common, but we lack data from young adults. Such data are of interest because epidemiological data support vitamin D as a possible risk modulator for diabetes and cardiovascular ('cardiometabolic') disease https://www.ncbi.nlm.nih.gov/pubmed/29222903 [[SHARE]]",2017-12-12 10:10:45,1,1,0,0,0,0,0,0
662218024166826_662519550803340,632493333805962_662218024166826,,Fake news !,2017-12-12 10:48:01,0,0,0,0,0,0,0,0
661403767581585_661495740905721,632493333805962_661403767581585,,Our thanks to the Canadian Government for stepping up their game and pushing clean energy as  a foundational piece to our trade policies.,2017-12-10 11:44:16,1,1,0,0,0,0,0,0
659802921075003_660430977678864,632493333805962_659802921075003,,Great job Tim!,2017-12-08 21:01:13,0,0,0,0,0,0,0,0
659802921075003_660438804344748,632493333805962_659802921075003,,Boss level,2017-12-08 21:22:16,0,0,0,0,0,0,0,0
659802921075003_660440771011218,632493333805962_659802921075003,,Wicked bro!!! Proud moment!! 😁👍,2017-12-08 21:28:49,0,0,0,0,0,0,0,0
659802921075003_660615030993792,632493333805962_659802921075003,,Nice!!!,2017-12-09 06:30:19,0,0,0,0,0,0,0,0
659802921075003_661596057562356,632493333805962_659802921075003,,Little does she know he loves pro wrestling and plays in a metal band....... John Simon Fallon,2017-12-10 15:39:31,1,0,0,0,1,0,0,0
659802921075003_661628000892495,632493333805962_659802921075003,659802921075003_661596057562356,Its the government. They already know,2017-12-10 17:01:08,0,0,0,0,0,0,0,0
659802921075003_661653364223292,632493333805962_659802921075003,659802921075003_661596057562356,true.....  old white men...,2017-12-10 18:30:06,0,0,0,0,0,0,0,0
659802921075003_661963367525625,632493333805962_659802921075003,,Wooo! Good job Tim!,2017-12-11 09:18:08,0,0,0,0,0,0,0,0
659183624470266_659634864425142,632493333805962_659183624470266,,Bombardier is best in technology and creating new inventions to reduce pollution,2017-12-07 10:50:40,0,0,0,0,0,0,0,0
