,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type,category
0,0,0,0,947150591561752576,0,0,2017-12-30 17:01:12,Nous sommes là pour vous aider &gt; érien,"['#VoyageA', '#DroitsPassagers']",['https://t.co/SQmBWPhw4m'],Nous sommes pour vous aider gt https co SQmBWPhw4m rien DroitsPassagers,"['Nous', 'sommes', 'pour', 'vous', 'aider', 'gt', 'https', 'co', 'SQmBWPhw4m', 'rien', 'DroitsPassagers']","[u'nous', u'somm', u'pour', u'vous', u'aider', 'gt', u'https', 'co', u'sqmbwphw4m', u'rien', u'droitspassag']",Nous sommes là pour vous aider &gt; https://t.co/SQmBWPhw4m #VoyageAérien #DroitsPassagers,0.0,Neutral,Economical
1,1,1,1,946833514074427392,0,0,2017-12-29 20:01:15,Les malheurs des – La ligne aérienne a perdu vos bagages? Renseignez-vous &gt;,"['#vacances', '#VoyageCnd', '#facilitation']",['https://t.co/P9kBJYYi8H'],Les malheurs des vacances La ligne rienne perdu vos bagages Renseignez vous gt https co P9kBJYYi8H VoyageCnd facilitation,"['Les', 'malheurs', 'des', 'vacances', 'La', 'ligne', 'rienne', 'perdu', 'vos', 'bagages', 'Renseignez', 'vous', 'gt', 'https', 'co', 'P9kBJYYi8H', 'VoyageCnd', 'facilitation']","[u'les', u'malheur', u'des', u'vacanc', 'la', u'lign', u'rienn', u'perdu', u'vos', u'bagag', u'renseignez', u'vous', 'gt', u'https', 'co', u'p9kbjyyi8h', u'voyagecnd', u'facilit']",Les malheurs des #vacances – La ligne aérienne a perdu vos bagages? Renseignez-vous &gt;  https://t.co/P9kBJYYi8H #VoyageCnd #facilitation,0.0,Neutral,Social
2,2,2,2,946455972754714626,0,0,2017-12-28 19:01:02,De quelle façon règle-t-il les plaintes d'é? Découvrez-le ici &gt;,['#accessibilit'],['https://t.co/7I0gif1J24'],De quelle gle il les plaintes couvrez le ici gt https co 7I0gif1J24,"['De', 'quelle', 'gle', 'il', 'les', 'plaintes', 'couvrez', 'le', 'ici', 'gt', 'https', 'co', '7I0gif1J24']","['de', u'quell', u'gle', 'il', u'les', u'plaint', u'couvrez', 'le', u'ici', 'gt', u'https', 'co', u'7i0gif1j24']",De quelle façon @OTC_gc règle-t-il les plaintes d'#accessibilité? Découvrez-le ici &gt; https://t.co/7I0gif1J24,0.0,Neutral,Social
3,3,3,3,946063558386872325,0,0,2017-12-27 17:01:43,Lisez à propos de nos ans au coeur des transports &gt;,['#Canada150'],"['https://t.co/oC5dLa7KBk', 'https://t.co/JmWyaR3nKn']",Lisez propos de nos 113 ans au coeur des transports gt https co oC5dLa7KBk Canada150 https co JmWyaR3nKn,"['Lisez', 'propos', 'de', 'nos', '113', 'ans', 'au', 'coeur', 'des', 'transports', 'gt', 'https', 'co', 'oC5dLa7KBk', 'Canada150', 'https', 'co', 'JmWyaR3nKn']","[u'lisez', u'propo', 'de', u'nos', u'113', u'an', 'au', u'coeur', u'des', u'transport', 'gt', u'https', 'co', u'oc5dla7kbk', u'canada150', u'https', 'co', u'jmwyar3nkn']",Lisez à propos de nos 113 ans au coeur des transports &gt; https://t.co/oC5dLa7KBk #Canada150 https://t.co/JmWyaR3nKn,0.0,Neutral,Environmental
4,4,4,4,944553434585423872,0,0,2017-12-23 13:01:02,Passez tous de joyeuses fêtes!,[],['https://t.co/H7bfZkIbIn'],Passez tous de joyeuses https co H7bfZkIbIn,"['Passez', 'tous', 'de', 'joyeuses', 'https', 'co', 'H7bfZkIbIn']","[u'passez', u'tous', 'de', u'joyeus', u'https', 'co', u'h7bfzkibin']",Passez tous de joyeuses fêtes! https://t.co/H7bfZkIbIn,0.0,Neutral,Social
5,5,5,5,944191139560787968,0,0,2017-12-22 13:01:24,Vol annulé? Bagages perdus? est peut-être en mesure de vous aider. Plus d'info &gt;,['#Canada'],['https://t.co/P9kBJYYi8H'],Vol Bagages perdus est peut en mesure de vous aider Plus info gt https co P9kBJYYi8H Canada,"['Vol', 'Bagages', 'perdus', 'est', 'peut', 'en', 'mesure', 'de', 'vous', 'aider', 'Plus', 'info', 'gt', 'https', 'co', 'P9kBJYYi8H', 'Canada']","[u'vol', u'bagag', u'perdus', u'est', u'peut', 'en', u'mesur', 'de', u'vous', u'aider', u'plus', u'info', 'gt', u'https', 'co', u'p9kbjyyi8h', u'canada']",Vol annulé? Bagages perdus? @OTC_gc est peut-être en mesure de vous aider. Plus d'info &gt; https://t.co/P9kBJYYi8H #Canada,0.0,Neutral,Social
6,6,6,6,943921565498068999,0,0,2017-12-21 19:10:13,Ce que vous devez savoir lorsque votre voyage aérien est perturbé &gt; érien és,"['#VoyageA', '#VolsRetard']",['https://t.co/kOfAIIp7Ck'],Ce que vous devez savoir lorsque votre voyage rien est gt https co kOfAIIp7Ck rien,"['Ce', 'que', 'vous', 'devez', 'savoir', 'lorsque', 'votre', 'voyage', 'rien', 'est', 'gt', 'https', 'co', 'kOfAIIp7Ck', 'rien']","['ce', u'que', u'vous', u'devez', u'savoir', u'lorsqu', u'votr', u'voyag', u'rien', u'est', 'gt', u'https', 'co', u'kofaiip7ck', u'rien']",Ce que vous devez savoir lorsque votre voyage aérien est perturbé &gt; https://t.co/kOfAIIp7Ck  #VoyageAérien #VolsRetardés,0.0,Neutral,Environmental
7,7,7,7,943881462654390275,0,0,2017-12-21 16:30:51,"Campagne agricole -2016 : $CN et $CP excèdent le revenu max. admissible. Ont transporté ,9% plus de grain. &gt; c",[],"['https://t.co/0dlbTGNJO', 'https://t.co/Vx3D7llXTm']",Campagne agricole 2015 2016 CN et CP dent le revenu max admissible Ont plus de grain gt https co 0dlbTGNJOc https co Vx3D7llXTm,"['Campagne', 'agricole', '2015', '2016', 'CN', 'et', 'CP', 'dent', 'le', 'revenu', 'max', 'admissible', 'Ont', 'plus', 'de', 'grain', 'gt', 'https', 'co', '0dlbTGNJOc', 'https', 'co', 'Vx3D7llXTm']","[u'campagn', u'agricol', u'2015', u'2016', 'cn', 'et', 'cp', u'dent', 'le', u'revenu', u'max', u'admiss', u'ont', u'plus', 'de', u'grain', 'gt', u'https', 'co', u'0dlbtgnjoc', u'https', 'co', u'vx3d7llxtm']","Campagne agricole 2015-2016 : $CN et $CP excèdent le revenu max. admissible. Ont transporté 6,9% plus de grain. &gt; https://t.co/0dlbTGNJOc https://t.co/Vx3D7llXTm",0.0,Neutral,Economical
8,8,8,8,943828551530409984,0,0,2017-12-21 13:00:36,"C'est la première journée de l'hiver! Avant votre vol, vérifiez nos conseils et 'air averti! &gt;",['#Prenezl'],"['https://t.co/6CCLWqX8ey', 'https://t.co/Ot8KBVIGAR']",est la de hiver Avant votre vol rifiez nos conseils et Prenezl air averti gt https co 6CCLWqX8ey https co Ot8KBVIGAR,"['est', 'la', 'de', 'hiver', 'Avant', 'votre', 'vol', 'rifiez', 'nos', 'conseils', 'et', 'Prenezl', 'air', 'averti', 'gt', 'https', 'co', '6CCLWqX8ey', 'https', 'co', 'Ot8KBVIGAR']","[u'est', 'la', 'de', u'hiver', u'avant', u'votr', u'vol', u'rifiez', u'nos', u'conseil', 'et', u'prenezl', u'air', u'averti', 'gt', u'https', 'co', u'6cclwqx8ey', u'https', 'co', u'ot8kbvigar']","C'est la première journée de l'hiver! Avant votre vol, vérifiez nos conseils et #Prenezl'air averti! &gt; https://t.co/6CCLWqX8ey https://t.co/Ot8KBVIGAR",0.0,Neutral,Environmental
9,9,9,9,943556791585173504,0,0,2017-12-20 19:00:44,Options pour régler votre relative aux transports – Renseignez-vous ici &gt;,"['#plainte', '#accessibles']",['https://t.co/gqgiFFzUOw'],Options pour gler votre plainte relative aux transports accessibles Renseignez vous ici gt https co gqgiFFzUOw,"['Options', 'pour', 'gler', 'votre', 'plainte', 'relative', 'aux', 'transports', 'accessibles', 'Renseignez', 'vous', 'ici', 'gt', 'https', 'co', 'gqgiFFzUOw']","[u'option', u'pour', u'gler', u'votr', u'plaint', u'relat', u'aux', u'transport', u'access', u'renseignez', u'vous', u'ici', 'gt', u'https', 'co', u'gqgiffzuow']",Options pour régler votre #plainte relative aux transports #accessibles – Renseignez-vous ici &gt; https://t.co/gqgiFFzUOw,0.0,Neutral,Environmental
