,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type,category
0,0,0,0,947452530614824961,3,3,2017-12-31 13:01:00,Amusez-vous en toute sécurité! Gardez votre loin des feux d’artifice et des foules c,['#drone'],"['https://t.co/FaY1MVGfx', 'https://t.co/JIWqFVCj8z']",Amusez vous en toute Gardez votre drone loin des feux artifice et des foules https co FaY1MVGfxc https co JIWqFVCj8z,"['Amusez', 'vous', 'en', 'toute', 'Gardez', 'votre', 'drone', 'loin', 'des', 'feux', 'artifice', 'et', 'des', 'foules', 'https', 'co', 'FaY1MVGfxc', 'https', 'co', 'JIWqFVCj8z']","[u'amusez', u'vous', 'en', u'tout', u'gardez', u'votr', u'drone', u'loin', u'des', u'feux', u'artific', 'et', u'des', u'foul', u'https', 'co', u'fay1mvgfxc', u'https', 'co', u'jiwqfvcj8z']",Amusez-vous en toute sécurité! Gardez votre #drone loin des feux d’artifice et des foules https://t.co/FaY1MVGfxc https://t.co/JIWqFVCj8z,0.0,Neutral,Environmental
1,1,1,1,947271199989657600,0,3,2017-12-31 01:00:28,Nous sommes fiers d’avoir travaillé avec pour l’ouverture des écluses de Jones Falls lors de la Semaine de la écuritéNautique. Quel a été votre préféré?,"['#S', '#Moment150']",['https://t.co/Up2PEpc4rh'],Nous sommes fiers avoir avec ParcsCanada pour ouverture des cluses de Jones Falls lors de la Semaine de la Nautique Quel votre Moment150 https co Up2PEpc4rh,"['Nous', 'sommes', 'fiers', 'avoir', 'avec', 'ParcsCanada', 'pour', 'ouverture', 'des', 'cluses', 'de', 'Jones', 'Falls', 'lors', 'de', 'la', 'Semaine', 'de', 'la', 'Nautique', 'Quel', 'votre', 'Moment150', 'https', 'co', 'Up2PEpc4rh']","[u'nous', u'somm', u'fier', u'avoir', u'avec', u'parcscanada', u'pour', u'ouvertur', u'des', u'cluse', 'de', u'jone', u'fall', u'lor', 'de', 'la', u'semain', 'de', 'la', u'nautiqu', u'quel', u'votr', u'moment150', u'https', 'co', u'up2pepc4rh']",Nous sommes fiers d’avoir travaillé avec @ParcsCanada pour l’ouverture des écluses de Jones Falls lors de la Semaine de la #SécuritéNautique. Quel a été votre #Moment150 préféré? https://t.co/Up2PEpc4rh,0.0,Neutral,Environmental
2,2,2,2,947090086314864640,0,0,2017-12-30 13:00:47,Vous avez reçu en cadeau le qui vous faisait tant rêver? Apprenez à bien l’utiliser : c,['#drone'],"['https://t.co/FaY1MVGfx', 'https://t.co/ovSlB7s8Da']",Vous avez en cadeau le drone qui vous faisait tant Apprenez bien utiliser https co FaY1MVGfxc https co ovSlB7s8Da,"['Vous', 'avez', 'en', 'cadeau', 'le', 'drone', 'qui', 'vous', 'faisait', 'tant', 'Apprenez', 'bien', 'utiliser', 'https', 'co', 'FaY1MVGfxc', 'https', 'co', 'ovSlB7s8Da']","[u'vous', u'avez', 'en', u'cadeau', 'le', u'drone', u'qui', u'vous', u'faisait', u'tant', u'apprenez', u'bien', u'utilis', u'https', 'co', u'fay1mvgfxc', u'https', 'co', u'ovslb7s8da']",Vous avez reçu en cadeau le #drone qui vous faisait tant rêver? Apprenez à bien l’utiliser : https://t.co/FaY1MVGfxc https://t.co/ovSlB7s8Da,0.0,Neutral,Environmental
3,3,3,3,946908845082857472,5,10,2017-12-30 01:00:36,éressant : Le premier vol d’avion au Canada s’est déroulé en février . John McCurdy a volé environ mètres à bord du Silver Dart,['#FaitInt'],['https://t.co/I8aFgLiD33'],ressant Le premier vol avion au Canada est en vrier 1909 John McCurdy environ 800 tres bord du Silver Dart https co I8aFgLiD33,"['ressant', 'Le', 'premier', 'vol', 'avion', 'au', 'Canada', 'est', 'en', 'vrier', '1909', 'John', 'McCurdy', 'environ', '800', 'tres', 'bord', 'du', 'Silver', 'Dart', 'https', 'co', 'I8aFgLiD33']","[u'ressant', 'le', u'premier', u'vol', u'avion', 'au', u'canada', u'est', 'en', u'vrier', u'1909', u'john', u'mccurdi', u'environ', u'800', u'tres', u'bord', 'du', u'silver', u'dart', u'https', 'co', u'i8afglid33']",#FaitIntéressant : Le premier vol d’avion au Canada s’est déroulé en février 1909. John McCurdy a volé environ 800 mètres à bord du Silver Dart https://t.co/I8aFgLiD33,0.0,Neutral,Environmental
4,4,4,4,946878717279731718,0,2,2017-12-29 23:00:53,: Cooper et Starfire. La bande de roulement pourrait se séparer et causer une défaillance des pneus.,"['#Rappel', '#Pneus']","['https://t.co/6jLOkjpBRs', 'https://t.co/wkZEDcReqX']",Rappel Pneus Cooper et Starfire La bande de roulement pourrait se parer et causer une faillance des pneus https co 6jLOkjpBRs https co wkZEDcReqX,"['Rappel', 'Pneus', 'Cooper', 'et', 'Starfire', 'La', 'bande', 'de', 'roulement', 'pourrait', 'se', 'parer', 'et', 'causer', 'une', 'faillance', 'des', 'pneus', 'https', 'co', '6jLOkjpBRs', 'https', 'co', 'wkZEDcReqX']","[u'rappel', u'pneus', u'cooper', 'et', u'starfir', 'la', u'band', 'de', u'roulement', u'pourrait', 'se', u'parer', 'et', u'causer', u'une', u'faillanc', u'des', u'pneus', u'https', 'co', u'6jlokjpbr', u'https', 'co', u'wkzedcreqx']",#Rappel : #Pneus Cooper et Starfire. La bande de roulement pourrait se séparer et causer une défaillance des pneus. https://t.co/6jLOkjpBRs https://t.co/wkZEDcReqX,0.0,Neutral,Social
5,5,5,5,946848551652425729,0,0,2017-12-29 21:01:00,"Utilisez votre plus beau cadeau de façon sécuritaire et légale. En vol, restez loin des avions et des autres drones c",[],"['https://t.co/FaY1MVGfx', 'https://t.co/SbrEmBQ7uM']",Utilisez votre plus beau cadeau de curitaire et gale En vol restez loin des avions et des autres drones https co FaY1MVGfxc https co SbrEmBQ7uM,"['Utilisez', 'votre', 'plus', 'beau', 'cadeau', 'de', 'curitaire', 'et', 'gale', 'En', 'vol', 'restez', 'loin', 'des', 'avions', 'et', 'des', 'autres', 'drones', 'https', 'co', 'FaY1MVGfxc', 'https', 'co', 'SbrEmBQ7uM']","[u'utilisez', u'votr', u'plus', u'beau', u'cadeau', 'de', u'curitair', 'et', u'gale', 'en', u'vol', u'restez', u'loin', u'des', u'avion', 'et', u'des', u'autr', u'drone', u'https', 'co', u'fay1mvgfxc', u'https', 'co', u'sbrembq7um']","Utilisez votre plus beau cadeau de façon sécuritaire et légale. En vol, restez loin des avions et des autres drones https://t.co/FaY1MVGfxc https://t.co/SbrEmBQ7uM",0.0,Neutral,Environmental
6,6,6,6,946845242505826304,2,0,2017-12-29 20:47:52,: . Nouvelle amende imposée pour non-respect de la limitation de vitesse dans le golfe du St-Laurent https…,[],[],RT salledepresseGC Nouvelle amende pour non respect de la limitation de vitesse dans le golfe du St Laurent,"['RT', 'salledepresseGC', 'Nouvelle', 'amende', 'pour', 'non', 'respect', 'de', 'la', 'limitation', 'de', 'vitesse', 'dans', 'le', 'golfe', 'du', 'St', 'Laurent']","['rt', u'salledepressegc', u'nouvell', u'amend', u'pour', u'non', u'respect', 'de', 'la', u'limit', 'de', u'vitess', u'dan', 'le', u'golf', 'du', 'st', u'laurent']",RT @salledepresseGC: .@Transports_gc Nouvelle amende imposée pour non-respect de la limitation de vitesse dans le golfe du St-Laurent https…,0.0,Neutral,Environmental
7,7,7,7,946785170170040320,1,0,2017-12-29 16:49:09,: Plus de Canadiens sur croient que le phénomène des textos au volant est pire qu’il y a trois ans. …,['#Dis'],['https://t.co/gAd16IL516'],RT CAA Plus de Canadiens sur croient que le ne des textos au volant est pire il trois ans https co gAd16IL516,"['RT', 'CAA', 'Plus', 'de', 'Canadiens', 'sur', 'croient', 'que', 'le', 'ne', 'des', 'textos', 'au', 'volant', 'est', 'pire', 'il', 'trois', 'ans', 'https', 'co', 'gAd16IL516']","['rt', u'caa', u'plus', 'de', u'canadien', u'sur', u'croient', u'que', 'le', 'ne', u'des', u'texto', 'au', u'volant', u'est', u'pire', 'il', u'troi', u'an', u'https', 'co', u'gad16il516']",RT @CAA: Plus de 4 Canadiens sur 5 croient que le phénomène des textos au volant est pire qu’il y a trois ans. https://t.co/gAd16IL516 #Dis…,0.0,Neutral,Social
8,8,8,8,946761552669085697,0,0,2017-12-29 15:15:18,: Mercedes-Benz GLC Class. L’orientation des feux de route DEL pourrait avoir été mal ajustée lors de la construction des véhicules 1,"['#Rappel', '#VUS']","['https://t.co/VZFqyQEvJe', 'https://t.co/aGF0xVUKz']",Rappel VUS Mercedes Benz GLC Class orientation des feux de route DEL pourrait avoir mal lors de la construction des hicules https co VZFqyQEvJe https co aGF0xVUKz1,"['Rappel', 'VUS', 'Mercedes', 'Benz', 'GLC', 'Class', 'orientation', 'des', 'feux', 'de', 'route', 'DEL', 'pourrait', 'avoir', 'mal', 'lors', 'de', 'la', 'construction', 'des', 'hicules', 'https', 'co', 'VZFqyQEvJe', 'https', 'co', 'aGF0xVUKz1']","[u'rappel', u'vus', u'merced', u'benz', u'glc', u'class', u'orient', u'des', u'feux', 'de', u'rout', u'del', u'pourrait', u'avoir', u'mal', u'lor', 'de', 'la', u'construct', u'des', u'hicul', u'https', 'co', u'vzfqyqevj', u'https', 'co', u'agf0xvukz1']",#Rappel : #VUS Mercedes-Benz GLC Class. L’orientation des feux de route DEL pourrait avoir été mal ajustée lors de la construction des véhicules https://t.co/VZFqyQEvJe https://t.co/aGF0xVUKz1,0.0,Neutral,Environmental
9,9,9,9,946727631453605888,0,1,2017-12-29 13:00:31,"en , mise en service du chemin de fer de la compagnie Bytown and Prescott pour relier Ottawa au chemin de fer de la compagnie Grand Trunk",['#EnCeJour'],['https://t.co/TywoWelzPR'],EnCeJour 1854 mise service chemin fer compagnie Bytown and Prescott relier Ottawa chemin fer compagnie Grand Trunk https co TywoWelzPR,"['EnCeJour', '1854', 'mise', 'service', 'chemin', 'fer', 'compagnie', 'Bytown', 'and', 'Prescott', 'relier', 'Ottawa', 'chemin', 'fer', 'compagnie', 'Grand', 'Trunk', 'https', 'co', 'TywoWelzPR']","[u'encejour', u'1854', u'mise', u'servic', u'chemin', u'fer', u'compagni', u'bytown', u'and', u'prescott', u'relier', u'ottawa', u'chemin', u'fer', u'compagni', u'grand', u'trunk', u'https', 'co', u'tywowelzpr']","#EnCeJour en 1854, mise en service du chemin de fer de la compagnie Bytown and Prescott pour relier Ottawa au chemin de fer de la compagnie Grand Trunk https://t.co/TywoWelzPR",0.5,Positive,Environmental
